State,Program,College/University,Years Post Grad,Cohort,Average Earnings
CO,HEALTH AND PHYSICAL EDUCATION/FITNESS,UNIVERSITY OF COLORADO-BOULDER,10,2001,"$65,311.67 "
TX,"AEROSPACE, AERONAUTICAL AND ASTRONAUTICAL ENGINEERING",UNIVERSITY OF TEXAS-ARLINGTON,1,2004,"$65,298.33 "
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIV OF TEXAS HEALTH SCIENCE CENTER,1,2010,"$65,262.67 "
CO,MATHEMATICS,COLORADO SCHOOL OF MINES,1,2013,"$65,262.00 "
CO,MATHEMATICS,UNIV OF COLORADO AT COLO SPRINGS,10,2001,"$65,261.67 "
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-AUSTIN,1,2004,"$65,143.33 "
TX,ARCHITECTURE,UNIVERSITY OF TEXAS-ARLINGTON,10,2004,"$65,133.00 "
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS-AUSTIN,1,2010,"$65,130.33 "
TX,INDUSTRIAL PRODUCTION TECHNOLOGIES/TECHNICIANS,UNIVERSITY OF TEXAS AT TYLER,5,2001,"$65,074.00 "
CO,RHETORIC AND COMPOSITION/WRITING STUDIES,COLORADO STATE UNIVERSITY,10,1998,"$65,071.67 "
CO,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",COLORADO MESA UNIVERSITY,5,1998,"$65,048.67 "
TX,"AEROSPACE, AERONAUTICAL AND ASTRONAUTICAL ENGINEERING",UNIVERSITY OF TEXAS-AUSTIN,1,2007,"$65,024.33 "
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF TEXAS-EL PASO,1,2004,"$65,019.33 "
TX,CLINICAL/MEDICAL LABORATORY SCIENCE/RESEARCH AND ALLIED PROFESSIONS,UNIV OF TEXAS MEDICAL BRANCH,10,2001,"$65,016.67 "
TX,PUBLIC ADMINISTRATION,UNIVERSITY OF TEXAS AT DALLAS,5,2004,"$65,010.33 "
TX,GEOGRAPHY AND CARTOGRAPHY,UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$64,997.00 "
CO,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",COLORADO MESA UNIVERSITY,10,1998,"$64,976.67 "
CO,"COMPUTER AND INFORMATION SCIENCES, GENERAL",COLORADO STATE UNIVERSITY - GLOBAL CAMPU,1,2013,"$64,973.67 "
CO,BIOMEDICAL/MEDICAL ENGINEERING,COLORADO SCHOOL OF MINES,1,2013,"$64,966.00 "
TX,ARCHITECTURE,UNIVERSITY OF TEXAS-AUSTIN,10,2001,"$64,958.67 "
TX,"BUSINESS/COMMERCE, GENERAL",UNIVERSITY OF TEXAS AT DALLAS,5,2004,"$64,945.33 "
CO,MICROBIOLOGICAL SCIENCES AND IMMUNOLOGY,COLORADO STATE UNIVERSITY,10,2001,"$64,943.00 "
CO,NATURAL RESOURCES CONSERVATION AND RESEARCH,UNIVERSITY OF COLORADO-BOULDER,10,1998,"$64,880.33 "
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-SAN ANTONIO,1,2007,"$64,826.00 "
CO,INFORMATION SCIENCE/STUDIES,COLORADO STATE UNIVERSITY,1,2013,"$64,811.67 "
CO,"COMPUTER AND INFORMATION SCIENCES, GENERAL",COLORADO STATE UNIVERSITY-PUEBLO,10,2001,"$64,795.00 "
CO,COMPUTER ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,1,2013,"$64,788.00 "
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-SAN ANTONIO,1,2013,"$64,785.67 "
TX,CIVIL ENGINEERING,UNIVERSITY OF TEXAS-ARLINGTON,1,2001,"$64,765.67 "
CO,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF COLORADO-BOULDER,5,2004,"$64,758.00 "
TX,DENTAL SUPPORT SERVICES AND ALLIED PROFESSIONS,UNIV OF TEXAS HEALTH SCIENCE CENTER,1,2013,"$64,755.67 "
CO,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIV OF COLORADO AT COLO SPRINGS,10,2004,"$64,748.67 "
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF TEXAS AT TYLER,1,2007,"$64,711.33 "
TX,MICROBIOLOGICAL SCIENCES AND IMMUNOLOGY,UNIVERSITY OF TEXAS-ARLINGTON,5,2001,"$64,710.00 "
TX,MICROBIOLOGICAL SCIENCES AND IMMUNOLOGY,UNIVERSITY OF TEXAS-EL PASO,10,2004,"$64,665.67 "
CO,CHEMICAL ENGINEERING,COLORADO SCHOOL OF MINES,1,2004,"$64,664.67 "
TX,"PUBLIC RELATIONS, ADVERTISING, AND APPLIED COMMUNICATION",UNIVERSITY OF TEXAS-SAN ANTONIO,10,2001,"$64,578.00 "
CO,POLITICAL SCIENCE AND GOVERNMENT,COLORADO STATE UNIVERSITY,10,2004,"$64,556.33 "
CO,"BIOLOGY, GENERAL",COLORADO STATE UNIVERSITY,10,1998,"$64,526.33 "
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UT HEALTH CENTER-SAN ANTONIO,1,2007,"$64,511.00 "
TX,CLINICAL/MEDICAL LABORATORY SCIENCE/RESEARCH AND ALLIED PROFESSIONS,UNIV OF TX MD ANDERSON CANCER CTR,5,2007,"$64,508.00 "
TX,MANAGEMENT INFORMATION SYSTEMS AND SERVICES,UNIVERSITY OF TEXAS-EL PASO,10,2001,"$64,507.67 "
CO,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",COLORADO STATE UNIVERSITY-PUEBLO,10,2004,"$64,503.33 "
CO,GEOGRAPHY AND CARTOGRAPHY,UNIVERSITY OF NORTHERN COLORADO,10,1998,"$64,499.67 "
TX,INDUSTRIAL ENGINEERING,UNIVERSITY OF TEXAS - PAN AMERICAN,5,2004,"$64,461.67 "
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-EL PASO,1,2001,"$64,444.00 "
CO,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIV OF COLORADO AT COLO SPRINGS,10,1998,"$64,444.00 "
TX,"BIOLOGY, GENERAL",UNIVERSITY OF TEXAS-PERMIAN BASIN,10,2001,"$64,443.67 "
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIV OF TX MD ANDERSON CANCER CTR,1,2013,"$64,436.33 "
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-SAN ANTONIO,1,2001,"$64,432.00 "
TX,SOCIOLOGY,UNIVERSITY OF TEXAS-AUSTIN,10,2001,"$64,419.00 "
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF TEXAS-AUSTIN,1,2013,"$64,415.00 "
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF TEXAS AT TYLER,1,2004,"$64,413.00 "
CO,MATHEMATICS,UNIVERSITY OF COLORADO DENVER,10,2001,"$64,404.33 "
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UT HEALTH CENTER-SAN ANTONIO,1,2013,"$64,362.00 "
CO,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",METROPOLITAN STATE UNIVERSITY OF DENVER,5,2007,"$64,361.33 "
CO,ECONOMICS,COLORADO SCHOOL OF MINES,5,2007,"$64,293.67 "
TX,COMPUTER SCIENCE,UNIVERSITY OF TEXAS - PAN AMERICAN,10,2004,"$64,292.00 "
CO,ECONOMICS,UNIVERSITY OF NORTHERN COLORADO,10,2004,"$64,285.00 "
CO,ARCHITECTURAL ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,5,2004,"$64,235.33 "
CO,"ECOLOGY, EVOLUTION, SYSTEMATICS, AND POPULATION BIOLOGY",UNIVERSITY OF COLORADO-BOULDER,10,2004,"$64,124.67 "
CO,"BIOLOGY, GENERAL",UNIV OF COLORADO AT COLO SPRINGS,10,2004,"$64,105.00 "
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIV OF TEXAS MEDICAL BRANCH,1,2007,"$64,101.00 "
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF TEXAS AT TYLER,1,2001,"$64,042.00 "
TX,ECONOMICS,UNIVERSITY OF TEXAS AT DALLAS,5,2004,"$64,030.33 "
CO,MANAGEMENT INFORMATION SYSTEMS AND SERVICES,METROPOLITAN STATE UNIVERSITY OF DENVER,5,1998,"$63,985.00 "
CO,"GERMANIC LANGUAGES, LITERATURES, AND LINGUISTICS",UNIVERSITY OF COLORADO-BOULDER,10,2001,"$63,983.67 "
TX,BIOMEDICAL/MEDICAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,1,2013,"$63,951.00 "
TX,INDUSTRIAL PRODUCTION TECHNOLOGIES/TECHNICIANS,UNIVERSITY OF TEXAS AT TYLER,1,2013,"$63,929.67 "
TX,COMMUNICATION DISORDERS SCIENCES AND SERVICES,UNIVERSITY OF TEXAS - PAN AMERICAN,5,2001,"$63,921.67 "
CO,"BIOLOGY, GENERAL",COLORADO STATE UNIVERSITY,10,2001,"$63,911.67 "
CO,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF COLORADO-BOULDER,1,2001,"$63,896.67 "
TX,"AEROSPACE, AERONAUTICAL AND ASTRONAUTICAL ENGINEERING",UNIVERSITY OF TEXAS-ARLINGTON,1,2007,"$63,882.33 "
CO,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF NORTHERN COLORADO,10,2001,"$63,832.33 "
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS-ARLINGTON,5,2007,"$63,828.00 "
CO,POLITICAL SCIENCE AND GOVERNMENT,UNIVERSITY OF NORTHERN COLORADO,10,2004,"$63,820.67 "
CO,INDUSTRIAL PRODUCTION TECHNOLOGIES/TECHNICIANS,COLORADO STATE UNIVERSITY,5,1998,"$63,810.67 "
CO,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",WESTERN STATE COLORADO UNIVERSITY,10,1998,"$63,778.33 "
TX,ECONOMICS,UNIVERSITY OF TEXAS-ARLINGTON,5,2007,"$63,767.00 "
TX,"PSYCHOLOGY, GENERAL",UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$63,761.00 "
TX,JOURNALISM,UNIVERSITY OF TEXAS-ARLINGTON,10,2004,"$63,748.33 "
TX,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF TEXAS-AUSTIN,1,2013,"$63,746.00 "
CO,"BIOLOGY, GENERAL",METROPOLITAN STATE UNIVERSITY OF DENVER,10,1998,"$63,727.67 "
CO,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",FORT LEWIS COLLEGE,10,1998,"$63,727.00 "
TX,MARKETING,UNIVERSITY OF TEXAS-EL PASO,10,2001,"$63,695.33 "
TX,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF TEXAS-PERMIAN BASIN,5,2004,"$63,690.33 "
TX,COMPUTER/INFORMATION TECHNOLOGY ADMINISTRATION AND MANAGEMENT,UNIVERSITY OF TEXAS-SAN ANTONIO,1,2013,"$63,689.33 "
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-EL PASO,5,2004,"$63,671.00 "
CO,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",UNIVERSITY OF COLORADO-BOULDER,10,1998,"$63,667.33 "
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-SAN ANTONIO,1,2013,"$63,644.00 "
CO,"ENGINEERING, GENERAL",COLORADO SCHOOL OF MINES,1,1998,"$63,616.33 "
TX,BUSINESS/MANAGERIAL ECONOMICS,UNIVERSITY OF TEXAS-SAN ANTONIO,5,2004,"$63,612.67 "
CO,DENTAL SUPPORT SERVICES AND ALLIED PROFESSIONS,UNIVERSITY OF COLORADO DENVER,5,2007,"$63,611.00 "
TX,"PUBLIC RELATIONS, ADVERTISING, AND APPLIED COMMUNICATION",UNIVERSITY OF TEXAS-ARLINGTON,10,2004,"$63,603.67 "
TX,MATHEMATICS,UNIVERSITY OF TEXAS-SAN ANTONIO,10,2001,"$63,596.67 "
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-PERMIAN BASIN,5,2001,"$63,574.33 "
CO,"BIOLOGY, GENERAL",UNIV OF COLORADO AT COLO SPRINGS,10,1998,"$63,494.00 "
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF TEXAS-AUSTIN,1,2007,"$63,484.33 "
TX,MANAGEMENT INFORMATION SYSTEMS AND SERVICES,UNIVERSITY OF TEXAS-AUSTIN,1,2001,"$63,481.67 "
TX,CIVIL ENGINEERING,UNIVERSITY OF TEXAS-ARLINGTON,1,2004,"$63,479.33 "
CO,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIV OF COLORADO AT COLO SPRINGS,10,2004,"$63,448.67 "
CO,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",METROPOLITAN STATE UNIVERSITY OF DENVER,5,2004,"$63,422.33 "
TX,MANAGEMENT INFORMATION SYSTEMS AND SERVICES,UNIVERSITY OF TEXAS-EL PASO,10,2004,"$63,418.00 "
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-SAN ANTONIO,1,2007,"$63,416.00 "
TX,ARCHITECTURE,UNIVERSITY OF TEXAS-ARLINGTON,10,2001,"$63,385.33 "
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-ARLINGTON,1,2013,"$63,348.67 "
CO,MATHEMATICS,COLORADO STATE UNIVERSITY,10,2004,"$63,333.33 "
TX,HEALTH PROFESSIONS AND RELATED PROGRAMS,UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$63,302.00 "
TX,MANAGEMENT INFORMATION SYSTEMS AND SERVICES,UNIVERSITY OF TEXAS AT DALLAS,1,2013,"$63,278.67 "
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS-AUSTIN,1,2007,"$63,254.00 "
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-SAN ANTONIO,1,2007,"$63,252.33 "
CO,ACCOUNTING AND RELATED SERVICES,METROPOLITAN STATE UNIVERSITY OF DENVER,5,2004,"$63,244.67 "
CO,"ECOLOGY, EVOLUTION, SYSTEMATICS, AND POPULATION BIOLOGY",UNIVERSITY OF COLORADO-BOULDER,5,2001,"$63,232.33 "
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS AT DALLAS,1,2004,"$63,227.00 "
CO,COMPUTER ENGINEERING,COLORADO STATE UNIVERSITY,1,2007,"$63,224.33 "
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS - PAN AMERICAN,1,2010,"$63,178.67 "
CO,"MULTI/INTERDISCIPLINARY STUDIES, OTHER",METROPOLITAN STATE UNIVERSITY OF DENVER,10,1998,"$63,174.67 "
TX,ARCHITECTURE,UNIVERSITY OF TEXAS-AUSTIN,5,2001,"$63,092.67 "
TX,CIVIL ENGINEERING,UNIVERSITY OF TEXAS-EL PASO,5,2007,"$63,079.67 "
TX,POLITICAL SCIENCE AND GOVERNMENT,UNIVERSITY OF TEXAS-AUSTIN,5,2004,"$63,071.67 "
TX,COMPUTER SCIENCE,UNIVERSITY OF TEXAS - PAN AMERICAN,5,2007,"$63,071.33 "
CO,MARKETING,METROPOLITAN STATE UNIVERSITY OF DENVER,10,1998,"$63,070.00 "
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UT HEALTH CENTER-SAN ANTONIO,1,2004,"$63,064.33 "
CO,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF COLORADO DENVER,5,2004,"$63,055.67 "
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS AT DALLAS,5,2007,"$63,033.33 "
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS-AUSTIN,1,2001,"$63,029.67 "
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS-AUSTIN,1,2004,"$63,027.33 "
CO,MANAGEMENT INFORMATION SYSTEMS AND SERVICES,METROPOLITAN STATE UNIVERSITY OF DENVER,5,2004,"$63,021.67 "
TX,CIVIL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,1,2004,"$62,979.33 "
CO,ENVIRONMENTAL DESIGN,UNIVERSITY OF COLORADO-BOULDER,10,2004,"$62,973.33 "
CO,COMPUTER SCIENCE,UNIVERSITY OF COLORADO-BOULDER,1,2007,"$62,944.00 "
CO,ACCOUNTING AND RELATED SERVICES,FORT LEWIS COLLEGE,5,1998,"$62,910.67 "
TX,INTERIOR ARCHITECTURE,UNIVERSITY OF TEXAS-ARLINGTON,5,2001,"$62,906.33 "
CO,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF COLORADO DENVER,1,2004,"$62,894.00 "
CO,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",COLORADO STATE UNIVERSITY-PUEBLO,10,2001,"$62,864.33 "
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS AT DALLAS,1,2007,"$62,837.00 "
CO,MECHANICAL ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,1,1998,"$62,831.00 "
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS - PAN AMERICAN,10,2001,"$62,813.67 "
CO,CIVIL ENGINEERING,COLORADO STATE UNIVERSITY,5,2004,"$62,787.00 "
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS AT DALLAS,1,2010,"$62,766.33 "
TX,COMMUNICATION DISORDERS SCIENCES AND SERVICES,UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$62,719.00 "
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-EL PASO,1,2001,"$62,709.00 "
TX,"PUBLIC RELATIONS, ADVERTISING, AND APPLIED COMMUNICATION",UNIVERSITY OF TEXAS-AUSTIN,5,2007,"$62,688.67 "
TX,CRIMINAL JUSTICE AND CORRECTIONS,UNIVERSITY OF TEXAS-ARLINGTON,10,2001,"$62,656.67 "
CO,RHETORIC AND COMPOSITION/WRITING STUDIES,UNIVERSITY OF COLORADO DENVER,10,1998,"$62,649.00 "
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIV OF TEXAS MEDICAL BRANCH,1,2013,"$62,645.33 "
TX,"RADIO, TELEVISION, AND DIGITAL COMMUNICATION",UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$62,639.67 "
CO,ECONOMICS,UNIVERSITY OF NORTHERN COLORADO,10,2001,"$62,639.33 "
TX,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF TEXAS-AUSTIN,5,2004,"$62,637.67 "
TX,REHABILITATION AND THERAPEUTIC PROFESSIONS,UT HEALTH CENTER-SAN ANTONIO,1,2001,"$62,613.33 "
CO,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",COLORADO STATE UNIVERSITY-PUEBLO,5,1998,"$62,583.67 "
TX,COMPUTER ENGINEERING,UNIVERSITY OF TEXAS AT DALLAS,1,2007,"$62,578.33 "
CO,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",METROPOLITAN STATE UNIVERSITY OF DENVER,10,1998,"$62,555.00 "
CO,"BIOLOGY, GENERAL",UNIVERSITY OF NORTHERN COLORADO,10,2004,"$62,551.00 "
CO,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",UNIVERSITY OF COLORADO-BOULDER,10,1998,"$62,539.67 "
CO,CHEMICAL ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,1,2013,"$62,527.67 "
TX,CIVIL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,1,2007,"$62,472.33 "
TX,"RADIO, TELEVISION, AND DIGITAL COMMUNICATION",UNIVERSITY OF TEXAS-ARLINGTON,10,2004,"$62,459.00 "
TX,REHABILITATION AND THERAPEUTIC PROFESSIONS,UNIVERSITY OF TEXAS - PAN AMERICAN,10,2004,"$62,454.67 "
CO,MECHANICAL ENGINEERING,UNIVERSITY OF COLORADO DENVER,1,2001,"$62,454.00 "
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS - BROWNSVILLE,10,2001,"$62,445.33 "
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS AT DALLAS,1,2013,"$62,440.67 "
TX,MARKETING,UNIVERSITY OF TEXAS-SAN ANTONIO,5,2001,"$62,439.67 "
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS-EL PASO,5,2001,"$62,439.00 "
CO,"EAST ASIAN LANGUAGES, LITERATURES, AND LINGUISTICS",UNIVERSITY OF COLORADO-BOULDER,10,2004,"$62,435.33 "
TX,COMPUTER ENGINEERING,UNIVERSITY OF TEXAS AT DALLAS,1,2010,"$62,414.67 "
CO,"AEROSPACE, AERONAUTICAL AND ASTRONAUTICAL ENGINEERING",UNIVERSITY OF COLORADO-BOULDER,1,2004,"$62,408.00 "
CO,PHYSICS,UNIVERSITY OF COLORADO-BOULDER,5,2007,"$62,404.00 "
TX,"BUSINESS/COMMERCE, GENERAL",UNIVERSITY OF TEXAS AT DALLAS,5,2007,"$62,389.67 "
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-ARLINGTON,1,2010,"$62,375.33 "
TX,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF TEXAS-PERMIAN BASIN,5,2001,"$62,373.00 "
CO,COMPUTER ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,1,2010,"$62,349.67 "
TX,POLITICAL SCIENCE AND GOVERNMENT,UNIVERSITY OF TEXAS-PERMIAN BASIN,10,2001,"$62,341.67 "
TX,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF TEXAS-EL PASO,10,2004,"$62,340.00 "
TX,MANAGEMENT INFORMATION SYSTEMS AND SERVICES,UNIVERSITY OF TEXAS-AUSTIN,1,2004,"$62,334.00 "
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS - PAN AMERICAN,1,2007,"$62,311.00 "
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS-SAN ANTONIO,5,2001,"$62,295.67 "
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS-AUSTIN,1,2010,"$62,294.00 "
TX,REHABILITATION AND THERAPEUTIC PROFESSIONS,UNIVERSITY OF TEXAS - PAN AMERICAN,5,2004,"$62,283.67 "
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-ARLINGTON,1,2007,"$62,270.00 "
TX,JOURNALISM,UNIVERSITY OF TEXAS-AUSTIN,10,2001,"$62,269.00 "
TX,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF TEXAS-PERMIAN BASIN,5,2007,"$62,253.67 "
CO,"AEROSPACE, AERONAUTICAL AND ASTRONAUTICAL ENGINEERING",UNIVERSITY OF COLORADO-BOULDER,1,2007,"$62,244.00 "
TX,INDUSTRIAL ENGINEERING,UNIVERSITY OF TEXAS-EL PASO,5,2004,"$62,239.00 "
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS-PERMIAN BASIN,5,2004,"$62,160.00 "
CO,COMPUTER SCIENCE,METROPOLITAN STATE UNIVERSITY OF DENVER,1,2010,"$62,141.33 "
CO,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF COLORADO-BOULDER,5,2007,"$62,122.00 "
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF TEXAS-AUSTIN,1,2004,"$62,097.67 "
TX,"MULTI/INTERDISCIPLINARY STUDIES, OTHER",UNIVERSITY OF TEXAS AT DALLAS,5,2001,"$62,096.67 "
TX,MATHEMATICS,UNIVERSITY OF TEXAS-ARLINGTON,5,2007,"$62,094.33 "
CO,COMPUTER SCIENCE,UNIVERSITY OF COLORADO-BOULDER,1,2004,"$62,063.33 "
TX,DESIGN AND APPLIED ARTS,UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$62,046.67 "
TX,INDUSTRIAL ENGINEERING,UNIVERSITY OF TEXAS-ARLINGTON,1,2010,"$62,045.33 "
CO,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",COLORADO STATE UNIVERSITY,10,1998,"$62,019.33 "
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-SAN ANTONIO,1,2013,"$62,014.33 "
TX,POLITICAL SCIENCE AND GOVERNMENT,UNIVERSITY OF TEXAS-AUSTIN,5,2007,"$62,004.67 "
CO,MATHEMATICS,COLORADO STATE UNIVERSITY,10,2001,"$62,002.00 "
TX,ARCHITECTURAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,1,2007,"$62,000.67 "
TX,"MULTI/INTERDISCIPLINARY STUDIES, OTHER",UNIVERSITY OF TEXAS AT DALLAS,10,2004,"$61,998.33 "
TX,INDUSTRIAL ENGINEERING,UNIVERSITY OF TEXAS-ARLINGTON,1,2013,"$61,995.00 "
CO,ENVIRONMENTAL DESIGN,UNIVERSITY OF COLORADO-BOULDER,10,1998,"$61,993.00 "
TX,BUSINESS/MANAGERIAL ECONOMICS,UNIVERSITY OF TEXAS-SAN ANTONIO,5,2007,"$61,977.33 "
TX,COMMUNICATION AND MEDIA STUDIES,UNIVERSITY OF TEXAS-AUSTIN,5,2004,"$61,967.67 "
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF TEXAS-AUSTIN,1,2001,"$61,900.33 "
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS-ARLINGTON,5,2004,"$61,895.33 "
CO,ECONOMICS,UNIVERSITY OF COLORADO-BOULDER,5,1998,"$61,883.67 "
CO,"AEROSPACE, AERONAUTICAL AND ASTRONAUTICAL ENGINEERING",UNIVERSITY OF COLORADO-BOULDER,1,2010,"$61,865.67 "
