State,Program,College/University,Years Post Grad,Cohort,Average Earnings
CO,CHEMICAL ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,10,1998,"$110,728.33 "
CO,GEOLOGICAL/GEOPHYSICAL ENGINEERING,COLORADO SCHOOL OF MINES,10,2004,"$110,605.00 "
TX,MANAGEMENT INFORMATION SYSTEMS AND SERVICES,UNIVERSITY OF TEXAS-AUSTIN,10,2001,"$110,180.33 "
CO,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF COLORADO-BOULDER,10,1998,"$108,878.67 "
CO,"COMPUTER AND INFORMATION SCIENCES, GENERAL",COLORADO STATE UNIVERSITY,10,2004,"$108,749.67 "
TX,PETROLEUM ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,1,2004,"$108,529.00 "
CO,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF COLORADO DENVER,10,2004,"$107,595.33 "
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-ARLINGTON,10,2004,"$107,442.33 "
TX,"BIOLOGY, GENERAL",UNIVERSITY OF TEXAS-AUSTIN,10,2001,"$107,357.67 "
CO,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF COLORADO-BOULDER,10,2004,"$107,001.67 "
TX,CIVIL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$106,983.00 "
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIV OF TEXAS SOUTHWESTERN MED CTR,10,2001,"$106,663.00 "
TX,GEOLOGICAL AND EARTH SCIENCES/GEOSCIENCES,UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$106,118.33 "
CO,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF COLORADO-BOULDER,10,1998,"$106,041.67 "
TX,GEOLOGICAL AND EARTH SCIENCES/GEOSCIENCES,UNIVERSITY OF TEXAS-AUSTIN,5,2007,"$105,476.00 "
TX,"BIOCHEMISTRY, BIOPHYSICS AND MOLECULAR BIOLOGY",UNIVERSITY OF TEXAS-AUSTIN,10,2001,"$105,415.00 "
CO,MINING AND MINERAL ENGINEERING,COLORADO SCHOOL OF MINES,10,1998,"$105,274.00 "
TX,ECONOMICS,UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$105,002.33 "
TX,"AEROSPACE, AERONAUTICAL AND ASTRONAUTICAL ENGINEERING",UNIVERSITY OF TEXAS-AUSTIN,10,2004,"$104,686.33 "
TX,"AEROSPACE, AERONAUTICAL AND ASTRONAUTICAL ENGINEERING",UNIVERSITY OF TEXAS-AUSTIN,10,2001,"$104,356.67 "
