institution_id,institution_name,deglevl_code,deglevl,degcip_4dig,ciptitle,grad_cohort,grad_cohort_label,year_postgrad,p50_earnings,cellcount,cell_suppressed,state,system,first_release,last_update,cpi_reportyear
3658,UNIVERSITY OF TEXAS-AUSTIN,5,Baccalaureate,1425,PETROLEUM ENGINEERING,2004,2004-2006,10,319269,52,0,TX,utsys,3082018,3082018,2016
3658,UNIVERSITY OF TEXAS-AUSTIN,5,Baccalaureate,5201,"BUSINESS/COMMERCE, GENERAL",2001,2001-2003,10,162153,202,0,TX,utsys,3082018,3082018,2016
3658,UNIVERSITY OF TEXAS-AUSTIN,5,Baccalaureate,5208,FINANCE*,2001,2001-2003,10,127706,625,0,TX,utsys,3082018,3082018,2016
3599,UNIVERSITY OF TEXAS - PAN AMERICAN,5,Baccalaureate,5109,"ALLIED HEALTH*",2004,2004-2006,10,123824,42,0,TX,utsys,3082018,3082018,2016
3658,UNIVERSITY OF TEXAS-AUSTIN,5,Baccalaureate,1407,CHEMICAL ENGINEERING,2004,2004-2006,10,123591,207,0,TX,utsys,3082018,3082018,2016
3658,UNIVERSITY OF TEXAS-AUSTIN,5,Baccalaureate,1410,"ELECTRICAL ENGINEERING",2004,2004-2006,10,120565,673,0,TX,utsys,3082018,3082018,2016
