institution_id,institution_name,deglevl_code,deglevl,degcip_4dig,ciptitle,grad_cohort,grad_cohort_label,year_postgrad,p50_earnings,cellcount,cell_suppressed,state,system,first_release,last_update,cpi_reportyear
4508,UNIVERSITY OF COLORADO DENVER,7,Masters,5100,HEALTH PROFESSIONS ,1996,1996-2000,10,136278,108,0,CO,cdhe,8242018,8242018,2016
1348,COLORADO SCHOOL OF MINES,7,Masters,4000,PHYSICAL SCIENCES,1996,1996-2000,10,138382,39,0,CO,cdhe,8242018,8242018,2016
1348,COLORADO SCHOOL OF MINES,7,Masters,4500,SOCIAL SCIENCES,1996,1996-2000,10,130791,44,0,CO,cdhe,8242018,8242018,2016
1370,UNIVERSITY OF COLORADO-BOULDER,7,Masters,1400,ENGINEERING,2001,2001-2005,10,114318,1032,0,CO,cdhe,8242018,8242018,2016
1350,COLORADO STATE UNIVERSITY,7,Masters,1100, INFORMATION SCIENCES ,1996,1996-2000,5,119872,45,0,CO,cdhe,8242018,8242018,2016
4508,UNIVERSITY OF COLORADO DENVER,7,Masters,5200,BUSINESS MANAGEMENT,1996,1996-2000,10,113960,1257,0,CO,cdhe,8242018,8242018,2016
