State,Program,College/University,Years Post Grad,Cohort,Average Earnings($)
CO,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF COLORADO DENVER,10,2004,107595
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-ARLINGTON,10,2004,107442
TX,"BIOLOGY, GENERAL",UNIVERSITY OF TEXAS-AUSTIN,10,2001,107357
CO,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF COLORADO-BOULDER,10,2004,107001
TX,CIVIL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,10,2004,106983
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIV OF TEXAS SOUTHWESTERN MED CTR,10,2001,106663
TX,GEOLOGICAL AND EARTH SCIENCES/GEOSCIENCES,UNIVERSITY OF TEXAS-AUSTIN,10,2004,106118
CO,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF COLORADO-BOULDER,10,1998,106041
TX,GEOLOGICAL AND EARTH SCIENCES/GEOSCIENCES,UNIVERSITY OF TEXAS-AUSTIN,5,2007,105476
TX,"BIOCHEMISTRY, BIOPHYSICS AND MOLECULAR BIOLOGY",UNIVERSITY OF TEXAS-AUSTIN,10,2001,105415
CO,MINING AND MINERAL ENGINEERING,COLORADO SCHOOL OF MINES,10,1998,105274
TX,ECONOMICS,UNIVERSITY OF TEXAS-AUSTIN,10,2004,105002
TX,"AEROSPACE, AERONAUTICAL AND ASTRONAUTICAL ENGINEERING",UNIVERSITY OF TEXAS-AUSTIN,10,2004,104686
TX,"AEROSPACE, AERONAUTICAL AND ASTRONAUTICAL ENGINEERING",UNIVERSITY OF TEXAS-AUSTIN,10,2001,104356
CO,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF COLORADO DENVER,10,2004,104281
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIVERSITY OF TEXAS - PAN AMERICAN,1,2001,104250
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-EL PASO,10,2001,104091
TX,ARCHITECTURAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,10,2004,103925
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS AT DALLAS,10,2001,103569
CO,PETROLEUM ENGINEERING,COLORADO SCHOOL OF MINES,1,2007,103405
CO,MATHEMATICS,COLORADO SCHOOL OF MINES,10,1998,103026
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS AT DALLAS,10,2004,102792
TX,CHEMICAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,5,2007,102682
CO,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF COLORADO-BOULDER,10,2001,102664
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIV OF TEXAS SOUTHWESTERN MED CTR,5,2001,102266
CO,ECONOMICS,COLORADO SCHOOL OF MINES,10,2001,102011
TX,ECONOMICS,UNIVERSITY OF TEXAS-AUSTIN,10,2001,101770
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIVERSITY OF TEXAS - PAN AMERICAN,1,2007,101663
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-ARLINGTON,10,2001,101645
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-EL PASO,10,2004,101611
CO,"AEROSPACE, AERONAUTICAL AND ASTRONAUTICAL ENGINEERING",UNIVERSITY OF COLORADO-BOULDER,10,2004,101589
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIV OF TEXAS MEDICAL BRANCH,10,2001,101505
CO,"ENGINEERING, GENERAL",COLORADO SCHOOL OF MINES,10,2004,101280
CO,APPLIED MATHEMATICS,UNIVERSITY OF COLORADO-BOULDER,10,2004,101099
CO,CHEMICAL ENGINEERING,COLORADO STATE UNIVERSITY,10,2004,101001
