State,Program,College/University,Years Post Grad,Cohort,Average Earnings($)
CO,GEOLOGICAL AND EARTH SCIENCES/GEOSCIENCES,COLORADO STATE UNIVERSITY,10,1998,66985
CO,MATHEMATICS,METROPOLITAN STATE UNIVERSITY OF DENVER,10,1998,66968
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF TEXAS-ARLINGTON,1,2001,66963
TX,MARKETING,UNIVERSITY OF TEXAS-ARLINGTON,10,2001,66955
TX,POLITICAL SCIENCE AND GOVERNMENT,UNIVERSITY OF TEXAS-ARLINGTON,10,2001,66918
CO,PHILOSOPHY,UNIVERSITY OF COLORADO-BOULDER,10,1998,66880
CO,"BIOLOGY, GENERAL",UNIVERSITY OF COLORADO DENVER,10,2001,66871
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS AT DALLAS,1,2013,66868
CO,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",COLORADO STATE UNIVERSITY-PUEBLO,10,1998,66847
TX,MATHEMATICS,UNIVERSITY OF TEXAS-AUSTIN,5,2001,66818
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,1,2001,66816
CO,MECHANICAL ENGINEERING RELATED TECHNOLOGIES/TECHNICIANS,COLORADO STATE UNIVERSITY-PUEBLO,5,1998,66808
CO,CHEMICAL ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,1,2010,66756
TX,"PSYCHOLOGY, GENERAL",UNIVERSITY OF TEXAS-AUSTIN,10,2001,66738
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS-ARLINGTON,5,2007,66737
TX,PHILOSOPHY,UNIVERSITY OF TEXAS-AUSTIN,5,2001,66690
CO,"AEROSPACE, AERONAUTICAL AND ASTRONAUTICAL ENGINEERING",UNIVERSITY OF COLORADO-BOULDER,1,2001,66689
CO,CHEMICAL ENGINEERING,COLORADO STATE UNIVERSITY,5,2007,66595
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIV OF TEXAS MEDICAL BRANCH,5,2007,66570
TX,"BUSINESS/COMMERCE, GENERAL",UNIVERSITY OF TEXAS-SAN ANTONIO,10,2001,66551
TX,MANAGEMENT INFORMATION SYSTEMS AND SERVICES,UNIVERSITY OF TEXAS-ARLINGTON,5,2004,66535
CO,PHILOSOPHY,UNIVERSITY OF COLORADO-BOULDER,10,2001,66531
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF TEXAS - PAN AMERICAN,5,2007,66516
TX,REHABILITATION AND THERAPEUTIC PROFESSIONS,UNIV OF TEXAS SOUTHWESTERN MED CTR,10,2001,66489
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF TEXAS-ARLINGTON,1,2004,66481
CO,MANAGEMENT INFORMATION SYSTEMS AND SERVICES,METROPOLITAN STATE UNIVERSITY OF DENVER,5,2007,66454
TX,HEALTH PROFESSIONS AND RELATED PROGRAMS,UNIVERSITY OF TEXAS - BROWNSVILLE,1,2004,66444
CO,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,METROPOLITAN STATE UNIVERSITY OF DENVER,5,2001,66435
CO,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF NORTHERN COLORADO,10,2001,66400
CO,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",COLORADO STATE UNIVERSITY,5,1998,66393
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF TEXAS-EL PASO,1,2013,66385
CO,METALLURGICAL ENGINEERING,COLORADO SCHOOL OF MINES,1,2001,66377
TX,"BUSINESS/COMMERCE, GENERAL",UNIVERSITY OF TEXAS-SAN ANTONIO,10,2004,66368
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS AT TYLER,5,2001,66367
CO,POLITICAL SCIENCE AND GOVERNMENT,COLORADO STATE UNIVERSITY,10,1998,66334
CO,ENGINEERING PHYSICS,COLORADO SCHOOL OF MINES,5,1998,66319
TX,REHABILITATION AND THERAPEUTIC PROFESSIONS,UNIVERSITY OF TEXAS-EL PASO,1,2001,66306
CO,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF NORTHERN COLORADO,10,2004,66289
TX,"PUBLIC RELATIONS, ADVERTISING, AND APPLIED COMMUNICATION",UNIVERSITY OF TEXAS-AUSTIN,5,2001,66276
CO,ARCHITECTURAL ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,10,2004,66275
TX,POLITICAL SCIENCE AND GOVERNMENT,UNIVERSITY OF TEXAS-SAN ANTONIO,10,2001,66259
TX,POLITICAL SCIENCE AND GOVERNMENT,UNIVERSITY OF TEXAS-EL PASO,10,2004,66259
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF TEXAS-EL PASO,1,2010,66234
TX,COMPUTER ENGINEERING,UNIVERSITY OF TEXAS-ARLINGTON,1,2001,66215
CO,PUBLIC HEALTH,COLORADO STATE UNIVERSITY,10,2001,66137
TX,"ECOLOGY, EVOLUTION, SYSTEMATICS, AND POPULATION BIOLOGY",UNIVERSITY OF TEXAS-AUSTIN,10,2001,66128
CO,GEOLOGICAL/GEOPHYSICAL ENGINEERING,COLORADO SCHOOL OF MINES,5,1998,66106
CO,AIR TRANSPORTATION,METROPOLITAN STATE UNIVERSITY OF DENVER,10,2001,66105
TX,CLINICAL/MEDICAL LABORATORY SCIENCE/RESEARCH AND ALLIED PROFESSIONS,UNIV OF TX MD ANDERSON CANCER CTR,5,2004,66091
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIV OF TEXAS MEDICAL BRANCH,1,2010,66082
TX,REHABILITATION AND THERAPEUTIC PROFESSIONS,UNIV OF TEXAS MEDICAL BRANCH,1,2004,66080
TX,CIVIL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,1,2013,66072
CO,PHYSICS,COLORADO STATE UNIVERSITY,5,2007,66060
TX,MANAGEMENT INFORMATION SYSTEMS AND SERVICES,UNIVERSITY OF TEXAS-AUSTIN,1,2010,66056
CO,METALLURGICAL ENGINEERING,COLORADO SCHOOL OF MINES,1,2010,66051
CO,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",COLORADO MESA UNIVERSITY,10,2004,65977
CO,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIV OF COLORADO AT COLO SPRINGS,10,2001,65944
CO,INDUSTRIAL PRODUCTION TECHNOLOGIES/TECHNICIANS,COLORADO STATE UNIVERSITY,5,2001,65919
TX,POLITICAL SCIENCE AND GOVERNMENT,UNIVERSITY OF TEXAS AT DALLAS,10,2001,65916
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS AT DALLAS,1,2001,65880
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UT HEALTH CENTER-SAN ANTONIO,1,2001,65878
TX,CIVIL ENGINEERING,UNIVERSITY OF TEXAS-EL PASO,5,2004,65867
TX,"BIOLOGY, GENERAL",UNIVERSITY OF TEXAS - PAN AMERICAN,10,2001,65810
CO,ELECTRICAL ENGINEERING TECHNOLOGIES/TECHNICIANS,METROPOLITAN STATE UNIVERSITY OF DENVER,10,2001,65782
CO,INFORMATION SCIENCE/STUDIES,COLORADO STATE UNIVERSITY-PUEBLO,10,2004,65779
TX,HEALTH AND PHYSICAL EDUCATION/FITNESS,UNIVERSITY OF TEXAS-AUSTIN,10,2001,65774
CO,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,METROPOLITAN STATE UNIVERSITY OF DENVER,10,1998,65770
CO,COMPUTER SCIENCE,UNIVERSITY OF COLORADO-BOULDER,1,2013,65766
CO,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF NORTHERN COLORADO,10,1998,65765
CO,"BIOLOGY, GENERAL",UNIVERSITY OF COLORADO-BOULDER,10,2001,65731
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS-AUSTIN,1,2007,65716
CO,DIETETICS AND CLINICAL NUTRITION SERVICES,UNIVERSITY OF NORTHERN COLORADO,10,2001,65710
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS-PERMIAN BASIN,5,2007,65657
CO,"AEROSPACE, AERONAUTICAL AND ASTRONAUTICAL ENGINEERING",UNIVERSITY OF COLORADO-BOULDER,1,2013,65645
CO,PHYSICS,UNIVERSITY OF COLORADO-BOULDER,10,2004,65587
TX,INTERNATIONAL BUSINESS,UNIVERSITY OF TEXAS-SAN ANTONIO,10,2004,65575
CO,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",METROPOLITAN STATE UNIVERSITY OF DENVER,10,2004,65564
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS AT DALLAS,1,2007,65557
TX,DESIGN AND APPLIED ARTS,UNIVERSITY OF TEXAS-AUSTIN,10,2001,65518
TX,INDUSTRIAL ENGINEERING,UNIVERSITY OF TEXAS-EL PASO,5,2007,65497
CO,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",COLORADO MESA UNIVERSITY,10,2001,65475
CO,"BIOLOGY, GENERAL",ADAMS STATE COLLEGE,10,1998,65423
TX,"AEROSPACE, AERONAUTICAL AND ASTRONAUTICAL ENGINEERING",UNIVERSITY OF TEXAS-AUSTIN,1,2013,65420
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-ARLINGTON,1,2007,65397
TX,"ETHNIC, CULTURAL MINORITY, GENDER, AND GROUP STUDIES",UNIVERSITY OF TEXAS-AUSTIN,10,2004,65379
CO,DESIGN AND APPLIED ARTS,METROPOLITAN STATE UNIVERSITY OF DENVER,5,2001,65363
CO,CIVIL ENGINEERING,COLORADO STATE UNIVERSITY,5,2007,65356
CO,INTERNATIONAL RELATIONS AND NATIONAL SECURITY STUDIES,UNIVERSITY OF COLORADO-BOULDER,10,2001,65340
CO,CHEMISTRY,FORT LEWIS COLLEGE,10,2001,65338
TX,MARKETING,UNIVERSITY OF TEXAS-AUSTIN,5,2004,65321
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS-SAN ANTONIO,5,2001,65318
CO,HEALTH AND PHYSICAL EDUCATION/FITNESS,UNIVERSITY OF COLORADO-BOULDER,10,2001,65311
TX,"AEROSPACE, AERONAUTICAL AND ASTRONAUTICAL ENGINEERING",UNIVERSITY OF TEXAS-ARLINGTON,1,2004,65298
CO,MATHEMATICS,COLORADO SCHOOL OF MINES,1,2013,65262
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIV OF TEXAS HEALTH SCIENCE CENTER,1,2010,65262
CO,MATHEMATICS,UNIV OF COLORADO AT COLO SPRINGS,10,2001,65261
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-AUSTIN,1,2004,65143
TX,ARCHITECTURE,UNIVERSITY OF TEXAS-ARLINGTON,10,2004,65133
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS-AUSTIN,1,2010,65130
TX,INDUSTRIAL PRODUCTION TECHNOLOGIES/TECHNICIANS,UNIVERSITY OF TEXAS AT TYLER,5,2001,65074
CO,RHETORIC AND COMPOSITION/WRITING STUDIES,COLORADO STATE UNIVERSITY,10,1998,65071
CO,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",COLORADO MESA UNIVERSITY,5,1998,65048
TX,"AEROSPACE, AERONAUTICAL AND ASTRONAUTICAL ENGINEERING",UNIVERSITY OF TEXAS-AUSTIN,1,2007,65024
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF TEXAS-EL PASO,1,2004,65019
TX,CLINICAL/MEDICAL LABORATORY SCIENCE/RESEARCH AND ALLIED PROFESSIONS,UNIV OF TEXAS MEDICAL BRANCH,10,2001,65016
TX,PUBLIC ADMINISTRATION,UNIVERSITY OF TEXAS AT DALLAS,5,2004,65010
TX,GEOGRAPHY AND CARTOGRAPHY,UNIVERSITY OF TEXAS-AUSTIN,10,2004,64997
CO,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",COLORADO MESA UNIVERSITY,10,1998,64976
CO,"COMPUTER AND INFORMATION SCIENCES, GENERAL",COLORADO STATE UNIVERSITY - GLOBAL CAMPU,1,2013,64973
CO,BIOMEDICAL/MEDICAL ENGINEERING,COLORADO SCHOOL OF MINES,1,2013,64966
TX,ARCHITECTURE,UNIVERSITY OF TEXAS-AUSTIN,10,2001,64958
TX,"BUSINESS/COMMERCE, GENERAL",UNIVERSITY OF TEXAS AT DALLAS,5,2004,64945
CO,MICROBIOLOGICAL SCIENCES AND IMMUNOLOGY,COLORADO STATE UNIVERSITY,10,2001,64943
CO,NATURAL RESOURCES CONSERVATION AND RESEARCH,UNIVERSITY OF COLORADO-BOULDER,10,1998,64880
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-SAN ANTONIO,1,2007,64826
CO,INFORMATION SCIENCE/STUDIES,COLORADO STATE UNIVERSITY,1,2013,64811
CO,"COMPUTER AND INFORMATION SCIENCES, GENERAL",COLORADO STATE UNIVERSITY-PUEBLO,10,2001,64795
CO,COMPUTER ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,1,2013,64788
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-SAN ANTONIO,1,2013,64785
TX,CIVIL ENGINEERING,UNIVERSITY OF TEXAS-ARLINGTON,1,2001,64765
CO,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF COLORADO-BOULDER,5,2004,64758
TX,DENTAL SUPPORT SERVICES AND ALLIED PROFESSIONS,UNIV OF TEXAS HEALTH SCIENCE CENTER,1,2013,64755
CO,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIV OF COLORADO AT COLO SPRINGS,10,2004,64748
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF TEXAS AT TYLER,1,2007,64711
TX,MICROBIOLOGICAL SCIENCES AND IMMUNOLOGY,UNIVERSITY OF TEXAS-ARLINGTON,5,2001,64710
TX,MICROBIOLOGICAL SCIENCES AND IMMUNOLOGY,UNIVERSITY OF TEXAS-EL PASO,10,2004,64665
CO,CHEMICAL ENGINEERING,COLORADO SCHOOL OF MINES,1,2004,64664
TX,"PUBLIC RELATIONS, ADVERTISING, AND APPLIED COMMUNICATION",UNIVERSITY OF TEXAS-SAN ANTONIO,10,2001,64578
CO,POLITICAL SCIENCE AND GOVERNMENT,COLORADO STATE UNIVERSITY,10,2004,64556
CO,"BIOLOGY, GENERAL",COLORADO STATE UNIVERSITY,10,1998,64526
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UT HEALTH CENTER-SAN ANTONIO,1,2007,64511
TX,CLINICAL/MEDICAL LABORATORY SCIENCE/RESEARCH AND ALLIED PROFESSIONS,UNIV OF TX MD ANDERSON CANCER CTR,5,2007,64508
TX,MANAGEMENT INFORMATION SYSTEMS AND SERVICES,UNIVERSITY OF TEXAS-EL PASO,10,2001,64507
CO,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",COLORADO STATE UNIVERSITY-PUEBLO,10,2004,64503
CO,GEOGRAPHY AND CARTOGRAPHY,UNIVERSITY OF NORTHERN COLORADO,10,1998,64499
TX,INDUSTRIAL ENGINEERING,UNIVERSITY OF TEXAS - PAN AMERICAN,5,2004,64461
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-EL PASO,1,2001,64444
CO,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIV OF COLORADO AT COLO SPRINGS,10,1998,64444
TX,"BIOLOGY, GENERAL",UNIVERSITY OF TEXAS-PERMIAN BASIN,10,2001,64443
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIV OF TX MD ANDERSON CANCER CTR,1,2013,64436
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-SAN ANTONIO,1,2001,64432
TX,SOCIOLOGY,UNIVERSITY OF TEXAS-AUSTIN,10,2001,64419
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF TEXAS-AUSTIN,1,2013,64415
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF TEXAS AT TYLER,1,2004,64413
CO,MATHEMATICS,UNIVERSITY OF COLORADO DENVER,10,2001,64404
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UT HEALTH CENTER-SAN ANTONIO,1,2013,64362
CO,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",METROPOLITAN STATE UNIVERSITY OF DENVER,5,2007,64361
CO,ECONOMICS,COLORADO SCHOOL OF MINES,5,2007,64293
TX,COMPUTER SCIENCE,UNIVERSITY OF TEXAS - PAN AMERICAN,10,2004,64292
CO,ECONOMICS,UNIVERSITY OF NORTHERN COLORADO,10,2004,64285
CO,ARCHITECTURAL ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,5,2004,64235
CO,"ECOLOGY, EVOLUTION, SYSTEMATICS, AND POPULATION BIOLOGY",UNIVERSITY OF COLORADO-BOULDER,10,2004,64124
CO,"BIOLOGY, GENERAL",UNIV OF COLORADO AT COLO SPRINGS,10,2004,64105
TX,"ALLIED HEALTH DIAGNOSTIC, INTERVENTION, AND TREATMENT PROFESSIONS",UNIV OF TEXAS MEDICAL BRANCH,1,2007,64101
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF TEXAS AT TYLER,1,2001,64042
TX,ECONOMICS,UNIVERSITY OF TEXAS AT DALLAS,5,2004,64030
CO,MANAGEMENT INFORMATION SYSTEMS AND SERVICES,METROPOLITAN STATE UNIVERSITY OF DENVER,5,1998,63985
CO,"GERMANIC LANGUAGES, LITERATURES, AND LINGUISTICS",UNIVERSITY OF COLORADO-BOULDER,10,2001,63983
TX,BIOMEDICAL/MEDICAL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,1,2013,63951
TX,INDUSTRIAL PRODUCTION TECHNOLOGIES/TECHNICIANS,UNIVERSITY OF TEXAS AT TYLER,1,2013,63929
TX,COMMUNICATION DISORDERS SCIENCES AND SERVICES,UNIVERSITY OF TEXAS - PAN AMERICAN,5,2001,63921
CO,"BIOLOGY, GENERAL",COLORADO STATE UNIVERSITY,10,2001,63911
CO,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF COLORADO-BOULDER,1,2001,63896
TX,"AEROSPACE, AERONAUTICAL AND ASTRONAUTICAL ENGINEERING",UNIVERSITY OF TEXAS-ARLINGTON,1,2007,63882
CO,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF NORTHERN COLORADO,10,2001,63832
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS-ARLINGTON,5,2007,63828
CO,POLITICAL SCIENCE AND GOVERNMENT,UNIVERSITY OF NORTHERN COLORADO,10,2004,63820
CO,INDUSTRIAL PRODUCTION TECHNOLOGIES/TECHNICIANS,COLORADO STATE UNIVERSITY,5,1998,63810
CO,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",WESTERN STATE COLORADO UNIVERSITY,10,1998,63778
TX,ECONOMICS,UNIVERSITY OF TEXAS-ARLINGTON,5,2007,63767
TX,"PSYCHOLOGY, GENERAL",UNIVERSITY OF TEXAS-AUSTIN,10,2004,63761
TX,JOURNALISM,UNIVERSITY OF TEXAS-ARLINGTON,10,2004,63748
TX,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF TEXAS-AUSTIN,1,2013,63746
CO,"BIOLOGY, GENERAL",METROPOLITAN STATE UNIVERSITY OF DENVER,10,1998,63727
CO,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",FORT LEWIS COLLEGE,10,1998,63727
TX,MARKETING,UNIVERSITY OF TEXAS-EL PASO,10,2001,63695
TX,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIVERSITY OF TEXAS-PERMIAN BASIN,5,2004,63690
TX,COMPUTER/INFORMATION TECHNOLOGY ADMINISTRATION AND MANAGEMENT,UNIVERSITY OF TEXAS-SAN ANTONIO,1,2013,63689
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-EL PASO,5,2004,63671
CO,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",UNIVERSITY OF COLORADO-BOULDER,10,1998,63667
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-SAN ANTONIO,1,2013,63644
CO,"ENGINEERING, GENERAL",COLORADO SCHOOL OF MINES,1,1998,63616
TX,BUSINESS/MANAGERIAL ECONOMICS,UNIVERSITY OF TEXAS-SAN ANTONIO,5,2004,63612
CO,DENTAL SUPPORT SERVICES AND ALLIED PROFESSIONS,UNIVERSITY OF COLORADO DENVER,5,2007,63611
TX,"PUBLIC RELATIONS, ADVERTISING, AND APPLIED COMMUNICATION",UNIVERSITY OF TEXAS-ARLINGTON,10,2004,63603
TX,MATHEMATICS,UNIVERSITY OF TEXAS-SAN ANTONIO,10,2001,63596
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS-PERMIAN BASIN,5,2001,63574
CO,"BIOLOGY, GENERAL",UNIV OF COLORADO AT COLO SPRINGS,10,1998,63494
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF TEXAS-AUSTIN,1,2007,63484
TX,MANAGEMENT INFORMATION SYSTEMS AND SERVICES,UNIVERSITY OF TEXAS-AUSTIN,1,2001,63481
TX,CIVIL ENGINEERING,UNIVERSITY OF TEXAS-ARLINGTON,1,2004,63479
CO,"BUSINESS ADMINISTRATION, MANAGEMENT AND OPERATIONS",UNIV OF COLORADO AT COLO SPRINGS,10,2004,63448
CO,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",METROPOLITAN STATE UNIVERSITY OF DENVER,5,2004,63422
TX,MANAGEMENT INFORMATION SYSTEMS AND SERVICES,UNIVERSITY OF TEXAS-EL PASO,10,2004,63418
TX,MECHANICAL ENGINEERING,UNIVERSITY OF TEXAS-SAN ANTONIO,1,2007,63416
TX,ARCHITECTURE,UNIVERSITY OF TEXAS-ARLINGTON,10,2001,63385
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-ARLINGTON,1,2013,63348
CO,MATHEMATICS,COLORADO STATE UNIVERSITY,10,2004,63333
TX,HEALTH PROFESSIONS AND RELATED PROGRAMS,UNIVERSITY OF TEXAS-AUSTIN,10,2004,63302
TX,MANAGEMENT INFORMATION SYSTEMS AND SERVICES,UNIVERSITY OF TEXAS AT DALLAS,1,2013,63278
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS-AUSTIN,1,2007,63254
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS-SAN ANTONIO,1,2007,63252
CO,ACCOUNTING AND RELATED SERVICES,METROPOLITAN STATE UNIVERSITY OF DENVER,5,2004,63244
CO,"ECOLOGY, EVOLUTION, SYSTEMATICS, AND POPULATION BIOLOGY",UNIVERSITY OF COLORADO-BOULDER,5,2001,63232
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS AT DALLAS,1,2004,63227
CO,COMPUTER ENGINEERING,COLORADO STATE UNIVERSITY,1,2007,63224
TX,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING",UNIVERSITY OF TEXAS - PAN AMERICAN,1,2010,63178
CO,"MULTI/INTERDISCIPLINARY STUDIES, OTHER",METROPOLITAN STATE UNIVERSITY OF DENVER,10,1998,63174
TX,ARCHITECTURE,UNIVERSITY OF TEXAS-AUSTIN,5,2001,63092
TX,CIVIL ENGINEERING,UNIVERSITY OF TEXAS-EL PASO,5,2007,63079
TX,COMPUTER SCIENCE,UNIVERSITY OF TEXAS - PAN AMERICAN,5,2007,63071
TX,POLITICAL SCIENCE AND GOVERNMENT,UNIVERSITY OF TEXAS-AUSTIN,5,2004,63071
CO,MARKETING,METROPOLITAN STATE UNIVERSITY OF DENVER,10,1998,63070
TX,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UT HEALTH CENTER-SAN ANTONIO,1,2004,63064
CO,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",UNIVERSITY OF COLORADO DENVER,5,2004,63055
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS AT DALLAS,5,2007,63033
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS-AUSTIN,1,2001,63029
TX,ACCOUNTING AND RELATED SERVICES,UNIVERSITY OF TEXAS-AUSTIN,1,2004,63027
CO,MANAGEMENT INFORMATION SYSTEMS AND SERVICES,METROPOLITAN STATE UNIVERSITY OF DENVER,5,2004,63021
TX,CIVIL ENGINEERING,UNIVERSITY OF TEXAS-AUSTIN,1,2004,62979
CO,ENVIRONMENTAL DESIGN,UNIVERSITY OF COLORADO-BOULDER,10,2004,62973
CO,COMPUTER SCIENCE,UNIVERSITY OF COLORADO-BOULDER,1,2007,62944
CO,ACCOUNTING AND RELATED SERVICES,FORT LEWIS COLLEGE,5,1998,62910
TX,INTERIOR ARCHITECTURE,UNIVERSITY OF TEXAS-ARLINGTON,5,2001,62906
CO,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF COLORADO DENVER,1,2004,62894
CO,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING",COLORADO STATE UNIVERSITY-PUEBLO,10,2001,62864
TX,"COMPUTER AND INFORMATION SCIENCES, GENERAL",UNIVERSITY OF TEXAS AT DALLAS,1,2007,62837
CO,MECHANICAL ENGINEERING,UNIVERSITY OF COLORADO-BOULDER,1,1998,62831
TX,FINANCE AND FINANCIAL MANAGEMENT SERVICES,UNIVERSITY OF TEXAS - PAN AMERICAN,10,2001,62813
